2026-08-08 10:17:45,152 - 4.743088130518265e+269
2026-08-08 10:17:52,825 - 4.2472655180481225e+269
2026-08-08 10:18:00,473 - 4.314362122599347e+269
2026-08-08 10:18:08,097 - 4.4574940536023314e+269
2026-08-08 10:18:15,743 - 4.4495700040496565e+269
2026-08-08 10:18:23,397 - 4.5396899420261736e+269
2026-08-08 10:18:31,027 - 4.2952497288292565e+269
2026-08-08 10:23:42,771 - 499.97342550175995
2026-08-08 10:23:50,794 - 499.8855550584556
2026-08-08 10:23:58,897 - 500.3503424092664
2026-08-08 10:24:07,009 - 500.1806497925413
2026-08-08 10:24:42,865 - 0.8918127684476255
2026-08-08 10:24:50,931 - 0.8895479768989419
2026-08-08 10:24:59,026 - 0.9009264376240328
2026-08-08 10:25:07,176 - 0.892237663855013
2026-08-08 10:25:47,450 - 500.07922649332704 - 0.8833201940271328
2026-08-08 10:25:55,622 - 499.8874322617436 - 0.8941782007503789
2026-08-08 10:26:03,713 - 499.6315907893377 - 0.9027728479333295
2026-08-08 10:26:11,770 - 499.9882339967405 - 0.8865370480064024
2026-08-08 10:26:19,901 - 500.50878012358316 - 0.8890084363850858
2026-08-08 10:26:28,135 - 499.8124255197812 - 0.8976811515413905
2026-08-08 10:26:36,287 - 500.62215010263355 - 0.8944158833542789
2026-08-08 10:26:44,461 - 499.76891012355094 - 0.8926389977482461
2026-08-08 10:26:52,678 - 499.65196155440094 - 0.8854277253689076
2026-08-08 10:27:00,865 - 500.3200791787232 - 0.8936874888080263
2026-08-08 10:27:08,992 - 499.93453239626274 - 0.8938473214115834
2026-08-08 10:27:16,865 - 499.74144691728884 - 0.9076578116146327
2026-08-08 10:27:24,721 - 500.35059335070184 - 0.8965824260715614
2026-08-08 10:27:32,598 - 499.9012808027282 - 0.8987079728694619
2026-08-08 10:27:40,564 - 500.23389200338187 - 0.8870473283266592
